id,titulo,anio,estado_juego,vinculo_preliminar,fuente,url,nota,estado_triage,ficha_id,origen,origen_ref,fecha_estado,motivo_decision,eje_sugerido,ejes_culturales_sugeridos,notas_triage
100-cats-argentina,100 Cats Argentina,,publicado,escenario,https://store.steampowered.com/app/2784520/,https://store.steampowered.com/app/2784520/,Candidato Steam app 2784520.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: argentina,escenario,,steam auto-descartado; terminos: argentina
100-orange-juice-extracurricular-pack,100% Orange Juice - Extracurricular Pack,,publicado,escenario,https://store.steampowered.com/app/3811450/,https://store.steampowered.com/app/3811450/,Candidato Steam app 3811450.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: tango,escenario,,steam auto-descartado; terminos: tango
152-el-colectivo,152: El Colectivo,,prototipo,escenario,https://itch.io/search?q=colectivo+buenos+aires,,Simuladores del bondi porteño.,descartado,,csv_legacy,,2026-08-03,; sin app_id Steam,escenario,cultura_urbana,; sin app_id Steam
2dark-official-soundtrack-and-artbook,2Dark Official Soundtrack and Artbook,,publicado,escenario,https://store.steampowered.com/app/579740/,https://store.steampowered.com/app/579740/,Candidato Steam app 579740.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: tango,escenario,,steam auto-descartado; terminos: tango
999-hidden-cats-argentina-together,999 Hidden Cats: Argentina Together,,publicado,escenario,https://store.steampowered.com/app/3809650/,https://store.steampowered.com/app/3809650/,Candidato Steam app 3809650.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; terminos: argentina,escenario,,steam auto-descartado; terminos: argentina
a-pirate-game-about-digging-for-treasure-and-getting-drunk-demo,A Pirate Game About Digging For Treasure And Getting Drunk Demo,,publicado,escenario,https://store.steampowered.com/app/3901500/,https://store.steampowered.com/app/3901500/,Candidato Steam app 3901500.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; título indica demo/dlc/pack/skin,escenario,,steam auto-descartado; título indica demo/dlc/pack/skin
across-the-desk-study-mate,Across the Desk : Study Mate,,publicado,escenario,https://store.steampowered.com/app/4443930/,https://store.steampowered.com/app/4443930/,Candidato Steam app 4443930.,descartado,,csv_legacy,,2026-08-03,juego base; solo ruido mate/tango/santa fe,escenario,,triage: juego base; solo ruido mate/tango/santa fe
age-of-resistance-demo,Age of Resistance Demo,,publicado,escenario,https://store.steampowered.com/app/4789470/,https://store.steampowered.com/app/4789470/,Candidato Steam app 4789470.,descartado,,csv_legacy,,2026-08-03,steam auto-descartado; título indica demo/dlc/pack/skin,escenario,,steam auto-descartado; título indica demo/dlc/pack/skin
aikomate,AikoMate,,publicado,escenario,https://store.steampowered.com/app/4426320/,https://store.steampowered.com/app/4426320/,Candidato Steam app 4426320.,descartado,,csv_legacy,,2026-08-03,juego base; solo ruido mate/tango/santa fe,escenario,,triage: juego base; solo ruido mate/tango/santa fe
american-truck-simulator-new-mexico,American Truck Simulator - New Mexico,,publicado,escenario,https://store.steampowered.com/app/684630/,https://store.steampowered.com/app/684630/,Candidato Steam app 684630.,descartado,,csv_legacy,,2026-08-03,tipo Steam: dlc,escenario,,triage: tipo Steam: dlc
